Structures   Fraction     E[J/m2]      V[A]         Fx           Fy           Fz           Q4           Q6           Q8           Q12          Method       
lammps_0107  0.4600       0.94522      0.18958      -1.89192     0.60269      0.00030      -0.08928     -0.15063     -0.01828     -0.17325     byEQ         
lammps_0108  0.4600       0.94530      0.18964      -1.89172     0.60159      0.00034      -0.09041     -0.15214     -0.01765     -0.17416     byEQ         
lammps_0109  0.4600       0.94527      0.18899      -1.89937     0.58484      0.00019      -0.08894     -0.14964     -0.01795     -0.17234     byEQ         
lammps_0110  0.4600       0.94539      0.19008      -1.88736     0.60080      0.00528      -0.08843     -0.15024     -0.01845     -0.17282     byEQ         
lammps_0111  0.4600       0.94531      0.18951      -1.89322     0.58831      0.00348      -0.08778     -0.14887     -0.01829     -0.17180     byEQ         
lammps_0112  0.4600       0.94502      0.18786      -1.91599     0.54728      0.00501      -0.09010     -0.15108     -0.01689     -0.17287     byEQ         
lammps_0113  0.4200       0.94669      0.19261      -1.88249     0.63064      0.00330      -0.08519     -0.14704     -0.01696     -0.16948     byEQ         
lammps_0114  0.4200       0.94673      0.19311      -1.88128     0.64259      0.00323      -0.08421     -0.14625     -0.01747     -0.16899     byEQ         
lammps_0115  0.4200       0.94666      0.19265      -1.88163     0.62681      0.00387      -0.08499     -0.14713     -0.01693     -0.16958     byEQ         
lammps_0116  0.4600       0.94711      0.19058      -1.86742     0.58460      0.00319      -0.08812     -0.15034     -0.01734     -0.17259     byEQ         
lammps_0117  0.4200       0.94715      0.19304      -1.85320     0.59894      0.00465      -0.08667     -0.14890     -0.01615     -0.17046     byEQ         
lammps_0118  0.4200       0.94679      0.18752      -1.85408     0.39573      0.00455      -0.08491     -0.14678     -0.01575     -0.16943     byEQ         
lammps_0119  0.4200       0.94816      0.19370      -1.85186     0.61214      0.00327      -0.08398     -0.14715     -0.01715     -0.16930     byEQ         
lammps_0120  0.4200       0.94768      0.19377      -1.87149     0.65634      0.00482      -0.08470     -0.14737     -0.01634     -0.16974     byEQ         
lammps_0121  0.4200       0.94866      0.19405      -1.86759     0.64605      0.00316      -0.08269     -0.14576     -0.01746     -0.16844     byEQ         
lammps_0122  0.4200       0.94712      0.19296      -1.85441     0.60152      0.00473      -0.08614     -0.14831     -0.01636     -0.17015     byEQ         
lammps_0123  0.4600       0.94919      0.17434      -2.08516     0.10912      0.00479      -0.08160     -0.14290     -0.02161     -0.16801     byEQ         
lammps_0124  0.4400       0.94999      0.18980      -1.78584     0.42195      0.00334      -0.08963     -0.15068     -0.01539     -0.17305     byEQ         
lammps_0125  0.4400       0.94981      0.18762      -1.78932     0.30529      0.00361      -0.08325     -0.14365     -0.01688     -0.16842     byEQ         
lammps_0126  0.4400       0.95052      0.18752      -1.80786     0.37368      0.00045      -0.08793     -0.14906     -0.01632     -0.17257     byEQ         
lammps_0127  0.4200       0.95044      0.19429      -1.92381     0.69479      0.00362      -0.08611     -0.14884     -0.01903     -0.17165     byEQ         
lammps_0128  0.4200       0.95052      0.19436      -1.92343     0.69361      0.00362      -0.08630     -0.14887     -0.01897     -0.17158     byEQ         
lammps_0129  0.4200       0.94931      0.18707      -1.77265     0.23944      0.00377      -0.08115     -0.14182     -0.01669     -0.16637     byEQ         
lammps_0130  0.4400       0.95097      0.19323      -1.76896     0.51778      0.00280      -0.08895     -0.15031     -0.01601     -0.17244     byEQ         
lammps_0131  0.4200       0.95072      0.19632      -1.89879     0.68116      0.00511      -0.08601     -0.14828     -0.01787     -0.16989     byEQ         
lammps_0132  0.4200       0.95080      0.19646      -1.89762     0.68169      0.00517      -0.08600     -0.14881     -0.01771     -0.17019     byEQ         
lammps_0133  0.4200       0.95110      0.19693      -1.88595     0.69195      0.00363      -0.08657     -0.14897     -0.01714     -0.17030     byEQ         
lammps_0134  0.4200       0.95109      0.19629      -1.89247     0.68227      0.00352      -0.08769     -0.14987     -0.01683     -0.17124     byEQ         
lammps_0135  0.4200       0.95111      0.19566      -1.90548     0.67219      0.00363      -0.08595     -0.14812     -0.01762     -0.16999     byEQ         
lammps_0136  0.4200       0.95115      0.19568      -1.90581     0.66949      0.00361      -0.08558     -0.14708     -0.01808     -0.16921     byEQ         
lammps_0137  0.4200       0.95126      0.19577      -1.90556     0.66769      0.00351      -0.08614     -0.14830     -0.01778     -0.16988     byEQ         
lammps_0138  0.4400       0.95134      0.18287      -1.91979     0.23936      0.00345      -0.08248     -0.14431     -0.01685     -0.16838     byEQ         
lammps_0139  0.4200       0.95162      0.19595      -1.90631     0.66853      0.00352      -0.08505     -0.14700     -0.01841     -0.16903     byEQ         
lammps_0140  0.4800       0.95190      0.19055      -1.80633     0.51367      0.00034      -0.09358     -0.15492     -0.01709     -0.17809     byEQ         
